X.UTM20	Y.UTM20	ID_2	pH	EC	SOC	TN	Mn	Cu	Zn	WHC	Sand	Silt	Clay	Al.Ox.	Fe.Ox.	P	K	Ca	Na	Mg	CEC	Elevation	Tm	pp	TvsPP	Kdg	Kda	Kdg_measured	Kda_measured	Zone_4	geometry	log_kda_sim	cat_kda_sim	log_kdg_sim	cat_kdg_sim	land_uses_obs	adapt_obs	betasok	vida_media	CATvida_media	LN_vida_media	Porcentaje2_rec
251673.61	6518741.32	387	7.5	0.09	5.78	0.07	118.1	1.6	0.27	10.5	69.3	23.8	6.9	0	0	36.17	312	2218	345	357.6	9.4	370	201	498	0.4	.	1.06	"No"	"Yes"	"I"	"c(251673.61, 6518741.32)"	0.0582689081239758	"low"	-0.160468170228885	"low"	Forest	0	.	.	.	.	.
235888.31	6553600.88	385	7.1	1.18	8.98	0.08	165.8	1.5	0.6	14	55.7	40.2	4	0.0491820096725797	.	44.29	507	1790	621	507.6	10.5	264	203	473	0.43	.	1.17	"No"	"Yes"	"I"	"c(235888.31, 6553600.88)"	0.157003748809665	"low"	1.03386692703405	"low"	Forest	0	.	.	.	.	.
342413.26	6226848.9	325	6.8	0.04	6.58	0.06	44.2	0.9	0.58	8.6	78.2	11.2	10.6	0.06	0.05	34.65	546	1370	253	648	7.1	.	168	680	0.25	.	1.45	"No"	"Yes"	"IV"	"c(342413.26, 6226848.9)"	0.371563556432483	"high"	1.76598587849579	"low"	NO_Grass_crop	0	.	.	.	.	.
381213.78	6709303.8	1241	7.2	0.47	34.42	0.14	278.7	0.7	5.65	19	56.4	38.3	5.3	0.106216077926728	.	49.58	429	9740	345	588	17.2	382	192	628	0.31	.	.	"No"	"No"	"I"	"c(381213.78, 6709303.8)"	1.14910280797621	"low"	1.96291860903668	"low"	Forest	0	.	.	.	.	.
356043.7	6636299.33	400	7.8	0.21	28.36	0.27	134.9	1.6	1.54	19.9	53.7	29	17.2	0.0826606632543913	.	15.2	390	5154	322	24	18.7	579	177	576	0.31	.	.	"No"	"No"	"II"	"c(356043.7, 6636299.33)"	0.762633023799014	"low"	1.89202376315826	"low"	Forest	0	.	.	.	.	.
259768.22	6551775.97	390	7.2	0.83	7.44	0.06	129.9	1.6	5.8	7.3	76.5	15	8.5	0.0567430747117464	.	56.85	507	2640	299	232.8	6.2	259	202	496	0.41	.	.	"No"	"No"	"II"	"c(259768.22, 6551775.97)"	0.0338374939992729	"low"	1.35414953232017	"low"	Forest	0	.	.	.	.	.
419729.09	6457031.74	194	6.50	0.11	9.34	0.07	129.00	1.30	0.01	15.40	28.10	55.60	16.40	0.17	0.05	17.89	663.00	2160	299.00	110.40	16.00	329	170	780	0.22	.	2.43	"No"	"Yes"	"IV"	"c(419729.09, 6457031.74)"	0.887891257352457	"high"	3.54076052192255	"high"	Grass_crop	1	-0.18230555035432	3.8021178138174	.	1.33555823091318	85.9183673469388
419416.76	6496935.98	192	6.70	0.17	19.50	0.18	194.40	1.00	2.08	21.70	24.80	53.10	22.10	0.08	0.09	52.34	975.00	1666	92.00	302.40	11.70	333	173	777	0.22	15.13	3.73	"Yes"	"Yes"	"III"	"c(419416.76, 6496935.98)"	1.31640823365572	"high"	2.71667952780026	"medium"	Grass_crop	1	-0.153861528313104	4.50500647016459	.	1.50518932727782	71.8367346938775
419639.81	6535326.89	190	6.90	0.34	14.49	0.13	208.20	1.70	0.42	21.10	10.10	62.40	27.50	0.13	0.08	48.96	780.00	2636	299.00	510.00	15.90	314	172	794	0.22	83.9	3.37	"Yes"	"Yes"	"III"	"c(419639.81, 6535326.89)"	1.21491274436427	"medium"	4.42962561347316	"high"	Grass_crop	1	-0.151600885061954	4.57218426051194	.	1.51999104706971	64.4897959183673
425171.03	6344753	200	6.19	0.10	12.13	0.12	93.60	0.70	0.29	13.90	64.10	22.00	13.90	0.10	0.09	13.29	936.00	1450	6.90	253.20	13.18	257	171	809	0.21	11.22	3.22	"Yes"	"Yes"	"IV"	"c(425171.03, 6344753)"	1.16938135955632	"high"	2.41769790009455	"medium"	Grass_crop	1	-0.07826694444358	8.85619319225643	.	2.18111701001217	87.1428571428571
416997.72	6363301.56	199	6.93	0.08	7.17	0.07	44.60	0.10	0.01	10.00	72.90	19.90	7.20	0.12	.	13.39	553.80	866	6.90	115.20	9.49	280	170	803	0.21	.	.	"No"	"No"	"IV"	"c(416997.72, 6363301.56)"	0.884893842620966	"high"	2.3412076316142	"medium"	Grass_crop	1	.	.	.	.	.
424187.59	6394252.6	197	6.46	0.15	9.92	0.10	157.90	1.40	0.50	17.80	51.60	36.10	12.30	0.13	.	15.95	787.80	1792	9.20	390.00	12.81	277	170	789	0.22	.	.	"No"	"No"	"IV"	"c(424187.59, 6394252.6)"	1.00676459974149	"high"	3.04926540741221	"medium"	Grass_crop	1	.	.	.	.	.
418050.85	6676477.99	183	6.80	0.31	18.33	0.21	213.80	1.10	1.48	22.10	28.80	43.90	27.40	0.13	.	46.51	507.00	3004	92.00	351.60	25.20	462	174	765	0.23	.	.	"No"	"No"	"II"	"c(418050.85, 6676477.99)"	1.10258765520635	"high"	3.62176499347271	"high"	Grass_crop	1	.	.	.	.	.
445299.77	6133187.62	180	6.40	0.15	11.13	0.10	118.20	1.80	0.66	17.90	53.90	28.70	17.40	0.13	.	26.88	663.00	1728	322.00	336.00	10.50	127	166	695	0.24	.	.	"No"	"No"	"IV"	"c(445299.77, 6133187.62)"	0.485007402345894	"high"	3.33819608852765	"medium"	Grass_crop	1	.	.	.	.	.
440748.31	6181170.21	178	6.60	0.10	12.74	0.11	94.30	1.20	1.07	15.70	58.80	24.40	16.80	0.11	.	19.42	624.00	1288	299.00	292.80	11.40	140	168	728	0.23	.	.	"No"	"No"	"IV"	"c(440748.31, 6181170.21)"	0.732832857723979	"high"	3.03496188244545	"medium"	Grass_crop	1	.	.	.	.	.
414909.64	6656060.91	184	6.90	0.31	24.22	0.20	216.00	1.10	1.31	21.90	15.10	58.00	26.90	0.10	0.05	71.86	858.00	3380	92.00	460.80	26.70	442	176	752	0.23	87.23	4.19	"Yes"	"Yes"	"III"	"c(414909.64, 6656060.91)"	1.43270073393405	"high"	4.46854830844513	"medium"	Grass_crop	1	-0.215242902881325	3.22030213903087	.	1.16947518715154	103.265306122449
418240.45	6593812.04	187	5.90	0.20	17.37	0.17	201.70	0.40	0.63	23.70	17.70	54.50	27.80	0.11	0.06	35.37	741.00	2600	276.00	420.00	26.70	338	172	773	0.22	89.84	3.85	"Yes"	"Yes"	"III"	"c(418240.45, 6593812.04)"	1.34807314829969	"high"	4.49803031043019	"high"	Grass_crop	1	-0.0834177847144432	8.30934533843994	.	2.11738082579293	78.5714285714286
423666.86	6616209.04	186	6.20	0.23	17.06	0.06	309.70	1.70	1.58	25.90	10.50	58.00	31.50	0.11	0.07	83.72	975.00	2820	276.00	612.00	21.50	308	176	773	0.23	95.7	2.91	"Yes"	"Yes"	"III"	"c(423666.86, 6616209.04)"	1.0681530811834	"high"	4.56121829845891	"high"	Grass_crop	1	-0.129207899365611	5.36458826405492	.	1.67981962832028	72.2448979591837
